iso2,variable,year,country,value,type
BE,BEG,2013,Belgien,98.9059149213833,Gesamtwirtschaft
BE,BEG,2014,Belgien,99.8547306081887,Gesamtwirtschaft
BE,BEG,2015,Belgien,100,Gesamtwirtschaft
BE,BEG,2016,Belgien,100.577167014188,Gesamtwirtschaft
BE,BEG,2017,Belgien,102.503025093605,Gesamtwirtschaft
BE,BEG,2018,Belgien,104.412496765819,Gesamtwirtschaft
BE,BEG,2019,Belgien,106.500512630376,Gesamtwirtschaft
BE,BEG,2020,Belgien,104.862677826753,Gesamtwirtschaft
BE,BEG,2021,Belgien,109.450543535809,Gesamtwirtschaft
BE,BEG,2022,Belgien,117.457008367037,Gesamtwirtschaft
BE,BEG,2023,Belgien,126.464421203861,Gesamtwirtschaft
BE,BEG,2024,Belgien,130.890675945996,Gesamtwirtschaft
BE,BEG,2025,Belgien,134.293833520592,Gesamtwirtschaft
BE,LStK,1995,Belgien,79.3359884061735,Gesamtwirtschaft
BE,LStK,1996,Belgien,78.458243859366,Gesamtwirtschaft
BE,LStK,1997,Belgien,76.054463847335,Gesamtwirtschaft
BE,LStK,1998,Belgien,76.7662769832089,Gesamtwirtschaft
BE,LStK,1999,Belgien,78.3170290811621,Gesamtwirtschaft
BE,LStK,2000,Belgien,78.5487890207088,Gesamtwirtschaft
BE,LStK,2001,Belgien,81.6415533796972,Gesamtwirtschaft
BE,LStK,2002,Belgien,83.7811369773217,Gesamtwirtschaft
BE,LStK,2003,Belgien,84.4961348955744,Gesamtwirtschaft
BE,LStK,2004,Belgien,83.8504212538358,Gesamtwirtschaft
BE,LStK,2005,Belgien,84.6060564283704,Gesamtwirtschaft
BE,LStK,2006,Belgien,86.3920239414839,Gesamtwirtschaft
BE,LStK,2007,Belgien,87.7038053068392,Gesamtwirtschaft
BE,LStK,2008,Belgien,92.1386107463952,Gesamtwirtschaft
BE,LStK,2009,Belgien,94.8970977987444,Gesamtwirtschaft
BE,LStK,2010,Belgien,94.2192452495529,Gesamtwirtschaft
BE,LStK,2011,Belgien,96.8334760561733,Gesamtwirtschaft
BE,LStK,2012,Belgien,99.5561847859509,Gesamtwirtschaft
BE,LStK,2013,Belgien,101.223735609727,Gesamtwirtschaft
BE,LStK,2014,Belgien,101.006102176799,Gesamtwirtschaft
BE,LStK,2015,Belgien,100,Gesamtwirtschaft
BE,LStK,2016,Belgien,100.56454672362,Gesamtwirtschaft
BE,LStK,2017,Belgien,102.437987035425,Gesamtwirtschaft
BE,LStK,2018,Belgien,104.010820242239,Gesamtwirtschaft
BE,LStK,2019,Belgien,105.426060911299,Gesamtwirtschaft
BE,LStK,2020,Belgien,109.691144611012,Gesamtwirtschaft
BE,LStK,2021,Belgien,109.124834677211,Gesamtwirtschaft
BE,LStK,2022,Belgien,116.041694117854,Gesamtwirtschaft
BE,LStK,2023,Belgien,124.24245022466,Gesamtwirtschaft
BE,LStK,2024,Belgien,127.472753930501,Gesamtwirtschaft
BE,LStK,2025,Belgien,129.76726350125,Gesamtwirtschaft
BG,BEG,1995,Bulgarien,21.540443768064,Gesamtwirtschaft
BG,BEG,1996,Bulgarien,14.6182792522279,Gesamtwirtschaft
BG,BEG,1997,Bulgarien,16.4729711408491,Gesamtwirtschaft
BG,BEG,1998,Bulgarien,25.1559926496891,Gesamtwirtschaft
BG,BEG,1999,Bulgarien,27.0204296945043,Gesamtwirtschaft
BG,BEG,2000,Bulgarien,29.8153795855892,Gesamtwirtschaft
BG,BEG,2001,Bulgarien,33.7974762737775,Gesamtwirtschaft
BG,BEG,2002,Bulgarien,35.7956846012297,Gesamtwirtschaft
BG,BEG,2003,Bulgarien,37.281234989511,Gesamtwirtschaft
BG,BEG,2004,Bulgarien,39.4886579001381,Gesamtwirtschaft
BG,BEG,2005,Bulgarien,43.1125375906617,Gesamtwirtschaft
BG,BEG,2006,Bulgarien,45.8257258393336,Gesamtwirtschaft
BG,BEG,2007,Bulgarien,51.6253273925022,Gesamtwirtschaft
BG,BEG,2008,Bulgarien,60.2976399928618,Gesamtwirtschaft
BG,BEG,2009,Bulgarien,65.1680501824012,Gesamtwirtschaft
BG,BEG,2010,Bulgarien,71.6267026591735,Gesamtwirtschaft
BG,BEG,2011,Bulgarien,76.4732224252359,Gesamtwirtschaft
BG,BEG,2012,Bulgarien,82.3956548665999,Gesamtwirtschaft
BG,BEG,2013,Bulgarien,89.6478768751682,Gesamtwirtschaft
BG,BEG,2014,Bulgarien,94.6591645437105,Gesamtwirtschaft
BG,BEG,2015,Bulgarien,100,Gesamtwirtschaft
BG,BEG,2016,Bulgarien,105.799012538887,Gesamtwirtschaft
BG,BEG,2017,Bulgarien,116.909189056929,Gesamtwirtschaft
BG,BEG,2018,Bulgarien,128.216688693926,Gesamtwirtschaft
BG,BEG,2019,Bulgarien,137.085368504785,Gesamtwirtschaft
BG,BEG,2020,Bulgarien,146.902018387407,Gesamtwirtschaft
BG,BEG,2021,Bulgarien,163.498163220522,Gesamtwirtschaft
BG,BEG,2022,Bulgarien,186.639814995734,Gesamtwirtschaft
BG,BEG,2023,Bulgarien,211.443224776519,Gesamtwirtschaft
BG,BEG,2024,Bulgarien,233.433320153277,Gesamtwirtschaft
BG,BEG,2025,Bulgarien,255.376052247685,Gesamtwirtschaft
BG,LStK,1995,Bulgarien,33.0230288644751,Gesamtwirtschaft
BG,LStK,1996,Bulgarien,21.8856772291071,Gesamtwirtschaft
BG,LStK,1997,Bulgarien,27.8334965589409,Gesamtwirtschaft
BG,LStK,1998,Bulgarien,40.5323437552642,Gesamtwirtschaft
BG,LStK,1999,Bulgarien,45.4742180546789,Gesamtwirtschaft
BG,LStK,2000,Bulgarien,46.8356544724411,Gesamtwirtschaft
BG,LStK,2001,Bulgarien,50.749480755467,Gesamtwirtschaft
BG,LStK,2002,Bulgarien,50.8854116080904,Gesamtwirtschaft
BG,LStK,2003,Bulgarien,51.848818855758,Gesamtwirtschaft
BG,LStK,2004,Bulgarien,52.8987471962212,Gesamtwirtschaft
BG,LStK,2005,Bulgarien,55.4028162204517,Gesamtwirtschaft
BG,LStK,2006,Bulgarien,56.9806790333499,Gesamtwirtschaft
BG,LStK,2007,Bulgarien,62.0981349762096,Gesamtwirtschaft
BG,LStK,2008,Bulgarien,69.9528668954417,Gesamtwirtschaft
BG,LStK,2009,Bulgarien,76.8812441694747,Gesamtwirtschaft
BG,LStK,2010,Bulgarien,79.9796402390091,Gesamtwirtschaft
BG,LStK,2011,Bulgarien,81.8016386777634,Gesamtwirtschaft
